timestamp,size,anomaly
1739435380.32974,54,False
1739435380.33702,89,False
1739435380.340971,487,False
1739435380.341069,85,False
1739435380.341129,54,False
1739435380.341924,89,False
1739435380.360514,487,False
1739435380.36069,85,False
1739435380.360758,54,False
1739435380.366259,1294,False
1739435380.366364,672,False
1739435380.366467,74,False
1739435380.366617,1294,False
1739435380.366874,1294,False
1739435380.366948,74,False
1739435380.367881,1294,False
1739435380.368141,1294,False
1739435380.368266,74,False
1739435380.382666,1294,False
1739435380.399267,759,False
1739435380.399425,74,False
1739435380.494213,421,False
1739435380.509132,1294,False
1739435380.509311,74,False
1739435380.511213,804,False
1739435380.516624,101,False
1739435380.516775,74,False
1739435380.517281,74,False
1739435380.793544,54,False
1739435381.242925,74,False
1739435381.319821,74,False
1739435381.319981,74,False
1739435381.320254,86,False
1739435385.858803,86,False
1739435385.889199,78,False
1739435388.768685,109,False
1739435388.881492,54,False
1739435390.948043,86,False
1739435390.955307,148,False
1739435390.955453,93,False
1739435391.071502,148,False
1739435391.125751,86,False
1739435391.125983,74,False
1739435391.126694,591,False
1739435391.339402,74,False
1739435391.339655,1294,False
1739435391.340003,1294,False
1739435391.340058,74,False
1739435391.340304,1294,False
1739435391.347187,535,False
1739435391.347305,74,False
1739435391.348303,154,False
1739435391.348671,241,False
1739435391.387786,54,False
1739435391.38787,424,False
1739435391.387959,54,False
1739435391.38996,147,False
1739435391.390052,1818,False
1739435391.402638,93,False
1739435391.431658,424,False
1739435391.431766,54,False
1739435391.433138,143,False
1739435391.433205,628,False
1739435391.454406,74,False
1739435391.454578,74,False
1739435391.749092,89,False
1739435391.790922,54,False
1739435391.830702,54,False
1739435391.851028,89,False
1739435391.851537,487,False
1739435391.851611,54,False
1739435391.851639,85,False
1739435391.852473,89,False
1739435391.87323,1294,False
1739435391.885731,672,False
1739435391.885731,1294,False
1739435391.885854,74,False
1739435391.917289,1294,False
1739435391.917395,74,False
1739435391.917435,487,False
1739435391.917539,85,False
1739435391.917591,54,False
1739435391.917862,1294,False
1739435391.918184,1294,False
1739435391.918237,74,False
1739435391.918419,980,False
1739435391.918585,421,False
1739435391.91863,74,False
1739435391.918924,1294,False
1739435391.919237,1294,False
1739435391.919295,74,False
1739435391.919435,720,False
1739435391.919553,101,False
1739435391.919602,74,False
1739435391.919957,74,False
1739435392.055812,74,False
1739435392.055972,74,False
1739435392.226052,55,False
1739435392.22778,54,False
1739435392.31489,66,False
1739435392.51192,91,False
1739435393.390496,91,False
1739435393.44092,54,False
1739435393.441152,87,False
1739435393.490763,54,False
1739435393.49088,75,False
1739435393.51872,86,False
1739435393.518884,86,False
1739435393.550931,86,False
1739435393.797169,66,False
1739435396.10651,75,False
1739435396.254285,86,False
1739435398.703316,75,False
1739435398.917776,86,False
1739435399.538128,42,False
1739435399.53816,42,False
1739435402.193894,74,False
1739435402.247893,86,False
1739435402.25054,148,False
1739435402.250724,93,False
1739435402.315886,86,False
1739435402.316077,74,False
1739435402.316773,591,False
1739435402.355102,148,False
1739435402.501206,74,False
1739435402.517572,1294,False
1739435402.558153,74,False
1739435402.56511,74,False
1739435402.565387,1294,False
1739435402.56554,1294,False
1739435402.565592,74,False
1739435402.565689,537,False
1739435402.566657,154,False
1739435402.567013,241,False
1739435402.587847,54,False
1739435402.588134,424,False
1739435402.588298,93,False
1739435402.588354,54,False
1739435402.590777,147,False
